"name"	"taxRank"	"taxID"	"Max"	"SL021_caries_fre.cladeReads"	"SL036_caries_activ.cladeReads"	"SL037_caries_activ.cladeReads"	"SL038_caries_activ.cladeReads"	"SL048_caries_activ.cladeReads"	"SL050_caries_activ.cladeReads"	"SL068_caries_activ.cladeReads"	"SL085_caries_fre.cladeReads"	"SL086_caries_fre.cladeReads"	"SL088_caries_fre.cladeReads"	"SL090_caries_fre.cladeReads"	"SL103_caries_fre.cladeReads"	"SL111_caries_activ.cladeReads"	"SL112_caries_fre.cladeReads"	"SL114_caries_fre.cladeReads"	"SL118_caries_activ.cladeReads"	"SL125_caries_fre.cladeReads"	"SL200_caries_activ.cladeReads"	"lineage"
"Pseudarthrobacter sp. BIM B-2242"	"S"	2772401	12	NA	1	NA	NA	1	NA	1	2	3	NA	NA	1	5	12	1	1	NA	3	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Micrococcaceae>Pseudarthrobacter>unclassified&nbsp;Pseudarthrobacter"
"Pseudarthrobacter defluvii"	"S"	410837	8	NA	7	NA	1	1	NA	NA	NA	NA	NA	1	5	3	NA	5	8	1	6	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Micrococcaceae>Pseudarthrobacter"
"Pseudarthrobacter equi"	"S"	728066	3	NA	3	1	NA	NA	1	NA	NA	NA	2	NA	1	2	NA	1	1	NA	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Micrococcaceae>Pseudarthrobacter"
"Glutamicibacter mishrai"	"S"	1775880	9	NA	2	NA	1	1	2	NA	NA	1	NA	1	9	4	NA	1	4	2	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Micrococcaceae>Glutamicibacter"
"Auritidibacter"	"G"	1160973	28	NA	22	NA	6	2	11	1	5	13	26	6	9	8	2	9	28	NA	5	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Micrococcaceae"
"Auritidibacter ignavus"	"S"	678932	28	NA	15	NA	6	2	9	1	5	11	22	6	9	8	2	9	28	NA	5	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Micrococcaceae>Auritidibacter"
"unclassified Auritidibacter"	"-"	2634694	6	NA	6	NA	NA	NA	2	NA	NA	2	3	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Micrococcaceae>Auritidibacter"
"Auritidibacter sp. NML130574"	"S"	2170745	6	NA	6	NA	NA	NA	2	NA	NA	2	3	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Micrococcaceae>Auritidibacter>unclassified&nbsp;Auritidibacter"
"Citricoccus sp. NR2"	"S"	3004095	15	NA	1	NA	3	NA	NA	NA	NA	1	15	9	NA	3	NA	1	2	NA	4	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Micrococcaceae>Citricoccus>unclassified&nbsp;Citricoccus"
"Citricoccus muralis"	"S"	169134	10	NA	4	2	3	5	4	2	5	NA	1	NA	NA	10	NA	4	3	2	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Micrococcaceae>Citricoccus"
"Paenarthrobacter"	"G"	1742992	37	NA	19	NA	19	10	10	2	4	5	NA	4	16	31	37	13	7	4	14	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Micrococcaceae"
"unclassified Paenarthrobacter"	"-"	2634190	37	NA	12	NA	12	7	7	2	1	5	NA	NA	6	24	37	7	7	4	14	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Micrococcaceae>Paenarthrobacter"
"Paenarthrobacter sp. JL.01a"	"S"	2979324	7	NA	6	NA	2	NA	1	2	NA	NA	NA	NA	2	3	2	2	7	NA	2	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Micrococcaceae>Paenarthrobacter>unclassified&nbsp;Paenarthrobacter"
"Paenarthrobacter sp. YJN-D"	"S"	2735317	35	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	35	2	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Micrococcaceae>Paenarthrobacter>unclassified&nbsp;Paenarthrobacter"
"Paenarthrobacter sp. GOM3"	"S"	2782567	3	NA	2	NA	1	2	2	NA	1	NA	NA	NA	1	3	NA	3	NA	NA	3	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Micrococcaceae>Paenarthrobacter>unclassified&nbsp;Paenarthrobacter"
"Paenarthrobacter ureafaciens"	"S"	37931	10	NA	5	NA	6	NA	1	NA	3	NA	NA	4	10	NA	NA	3	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Micrococcaceae>Paenarthrobacter"
"Paenarthrobacter aurescens"	"S"	43663	3	NA	1	NA	1	3	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Micrococcaceae>Paenarthrobacter"
"Paeniglutamicibacter sp. Y32M11"	"S"	2853258	10	NA	8	NA	1	1	1	NA	1	2	10	1	1	3	NA	NA	5	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Micrococcaceae>Paeniglutamicibacter>unclassified&nbsp;Paeniglutamicibacter"
"Nesterenkonia"	"G"	57494	10	NA	5	NA	1	3	2	3	1	NA	NA	NA	8	10	2	2	6	1	4	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Micrococcaceae"
"unclassified Nesterenkonia"	"-"	2629769	8	NA	4	NA	1	3	2	2	1	NA	NA	NA	8	2	2	2	3	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Micrococcaceae>Nesterenkonia"
"Nesterenkonia sp. NBAIMH1"	"S"	2600320	8	NA	4	NA	1	3	2	2	1	NA	NA	NA	8	2	2	2	3	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Micrococcaceae>Nesterenkonia>unclassified&nbsp;Nesterenkonia"
"Nesterenkonia pannonica"	"S"	1548602	7	NA	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	7	NA	NA	2	1	4	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Micrococcaceae>Nesterenkonia"
"Pseudoglutamicibacter"	"G"	1742991	3	NA	3	3	NA	2	1	NA	NA	1	NA	1	NA	3	NA	3	2	1	2	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Micrococcaceae"
"Pseudoglutamicibacter albus"	"S"	98671	3	NA	3	3	NA	2	1	NA	NA	1	NA	1	NA	3	NA	3	2	1	2	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Micrococcaceae>Pseudoglutamicibacter"
"Psychromicrobium"	"G"	2078575	8	NA	3	3	NA	2	NA	NA	NA	NA	1	NA	NA	5	NA	2	8	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Micrococcaceae"
"Psychromicrobium lacuslunae"	"S"	1618207	8	NA	3	3	NA	2	NA	NA	NA	NA	1	NA	NA	5	NA	2	8	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Micrococcaceae>Psychromicrobium"
"Zhihengliuella"	"G"	370735	2	NA	2	NA	1	NA	NA	1	1	1	2	NA	NA	2	NA	1	NA	2	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Micrococcaceae"
"unclassified Zhihengliuella"	"-"	2626589	2	NA	2	NA	1	NA	NA	1	1	1	2	NA	NA	2	NA	1	NA	2	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Micrococcaceae>Zhihengliuella"
"Zhihengliuella sp. ISTPL4"	"S"	2058657	2	NA	2	NA	1	NA	NA	1	1	1	2	NA	NA	2	NA	1	NA	2	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Micrococcaceae>Zhihengliuella>unclassified&nbsp;Zhihengliuella"
"Renibacterium"	"G"	1645	3	NA	1	3	1	NA	1	NA	NA	1	NA	NA	1	1	NA	2	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Micrococcaceae"
"Renibacterium salmoninarum"	"S"	1646	3	NA	1	3	1	NA	1	NA	NA	1	NA	NA	1	1	NA	2	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Micrococcaceae>Renibacterium"
"Microbacterium sp. YJN-G"	"S"	2763257	9	NA	9	2	NA	1	3	1	NA	3	2	1	7	8	7	1	1	4	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microbacterium>unclassified&nbsp;Microbacterium"
"Microbacterium sp. 4R-513"	"S"	2567934	8	NA	6	NA	3	NA	NA	NA	3	NA	NA	NA	8	6	NA	1	3	1	6	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microbacterium>unclassified&nbsp;Microbacterium"
"Microbacterium sp. RG1"	"S"	2489212	7	NA	7	NA	NA	NA	1	NA	1	2	NA	NA	2	6	1	NA	NA	NA	6	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microbacterium>unclassified&nbsp;Microbacterium"
"Microbacterium sp. LKL04"	"S"	912630	5	NA	5	NA	2	1	3	2	1	1	NA	NA	5	1	NA	NA	3	1	3	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microbacterium>unclassified&nbsp;Microbacterium"
"Microbacterium sp. BH-3-3-3"	"S"	1906742	11	NA	5	3	2	5	3	1	5	3	1	NA	11	6	3	NA	4	3	2	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microbacterium>unclassified&nbsp;Microbacterium"
"Microbacterium sp. BDGP8"	"S"	3035531	39	NA	13	NA	18	9	23	NA	8	29	6	14	39	22	13	24	4	1	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microbacterium>unclassified&nbsp;Microbacterium"
"Microbacterium sp. zg-Y818"	"S"	3049072	11	NA	3	NA	NA	NA	2	NA	NA	NA	NA	NA	11	9	NA	3	4	NA	3	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microbacterium>unclassified&nbsp;Microbacterium"
"Microbacterium sp. zg-B96"	"S"	3049069	6	NA	3	NA	1	1	5	1	1	4	NA	3	5	1	1	4	6	2	3	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microbacterium>unclassified&nbsp;Microbacterium"
"Microbacterium sp. cx-55"	"S"	2875948	5	NA	3	NA	NA	4	3	NA	NA	2	NA	1	2	5	1	3	NA	NA	3	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microbacterium>unclassified&nbsp;Microbacterium"
"Microbacterium sp. str. 'China'"	"S"	2103230	25	NA	8	NA	NA	NA	NA	NA	NA	3	NA	NA	10	25	NA	NA	NA	8	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microbacterium>unclassified&nbsp;Microbacterium"
"Microbacterium sp. 1S1"	"S"	2606451	9	NA	2	NA	1	9	NA	NA	2	1	NA	4	3	NA	1	NA	NA	7	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microbacterium>unclassified&nbsp;Microbacterium"
"Microbacterium sp. Y-01"	"S"	2048898	8	NA	1	NA	NA	NA	3	1	1	1	1	5	3	8	1	5	NA	4	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microbacterium>unclassified&nbsp;Microbacterium"
"Microbacterium sp. SL75"	"S"	2995140	2	NA	1	NA	1	NA	NA	NA	1	1	NA	2	2	1	1	NA	2	1	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microbacterium>unclassified&nbsp;Microbacterium"
"Microbacterium sp. H1-D42"	"S"	2925844	10	NA	1	NA	2	1	3	1	2	2	NA	NA	4	10	1	4	3	NA	4	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microbacterium>unclassified&nbsp;Microbacterium"
"Microbacterium sp. PAMC 28756"	"S"	1795053	15	NA	15	NA	NA	NA	NA	NA	12	NA	NA	NA	NA	NA	15	NA	NA	6	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microbacterium>unclassified&nbsp;Microbacterium"
"Microbacterium sp. zg-Y1090"	"S"	3049073	15	NA	1	NA	NA	15	NA	NA	1	2	NA	2	8	5	1	3	NA	2	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microbacterium>unclassified&nbsp;Microbacterium"
"Microbacterium testaceum"	"S"	2033	15	NA	8	NA	2	3	4	1	3	8	NA	2	14	15	3	10	8	NA	5	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microbacterium"
"Microbacterium oxydans"	"S"	82380	19	NA	7	2	6	10	16	6	1	1	3	1	13	16	9	6	19	4	15	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microbacterium"
"Microbacterium wangchenii"	"S"	2541726	6	NA	5	NA	2	1	1	1	NA	2	1	4	5	6	1	2	3	2	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microbacterium"
"Microbacterium proteolyticum"	"S"	1572644	8	NA	5	2	NA	1	4	4	2	4	NA	1	8	2	1	3	5	1	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microbacterium"
"Microbacterium luteolum"	"S"	69367	4	NA	4	NA	NA	3	NA	1	NA	NA	NA	NA	3	NA	NA	2	1	2	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microbacterium"
"Microbacterium oryzae"	"S"	743009	4	NA	4	4	1	NA	2	2	NA	NA	NA	NA	2	2	NA	2	4	NA	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microbacterium"
"Microbacterium schleiferi"	"S"	69362	11	NA	4	NA	3	3	7	NA	NA	9	2	1	11	9	3	6	3	2	2	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microbacterium"
"Microbacterium arborescens"	"S"	33883	7	NA	3	1	2	1	4	NA	1	1	1	NA	4	1	1	1	1	NA	7	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microbacterium"
"Microbacterium elymi"	"S"	2909587	6	NA	2	1	1	1	6	NA	NA	NA	NA	NA	6	3	1	5	3	NA	4	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microbacterium"
"Microbacterium cremeum"	"S"	2782169	9	NA	2	NA	3	2	4	2	2	1	1	NA	3	9	NA	6	4	2	3	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microbacterium"
"Microbacterium paludicola"	"S"	300019	5	NA	5	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	5	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microbacterium"
"Microbacterium pygmaeum"	"S"	370764	5	NA	2	NA	NA	NA	2	NA	NA	2	NA	NA	5	3	1	1	2	NA	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microbacterium"
"Microbacterium galbinum"	"S"	2851646	8	NA	1	NA	1	NA	6	4	1	2	1	4	6	8	NA	2	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microbacterium"
"Microbacterium hydrocarbonoxydans"	"S"	273678	18	NA	1	1	1	4	1	NA	4	1	5	NA	2	3	3	NA	18	NA	3	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microbacterium"
"Microbacterium binotii"	"S"	462710	4	NA	1	NA	1	NA	1	3	NA	NA	2	2	2	NA	2	NA	4	NA	3	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microbacterium"
"Microbacterium invictum"	"S"	515415	9	NA	1	NA	5	1	3	1	1	NA	NA	NA	6	3	6	9	8	NA	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microbacterium"
"Curtobacterium sp. BH-2-1-1"	"S"	1905847	6	NA	6	NA	NA	4	1	NA	1	1	NA	2	NA	1	1	1	1	NA	2	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Curtobacterium>unclassified&nbsp;Curtobacterium"
"Curtobacterium sp. SGAir0471"	"S"	2070337	7	NA	5	1	2	NA	NA	NA	NA	NA	NA	4	1	NA	1	NA	7	NA	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Curtobacterium>unclassified&nbsp;Curtobacterium"
"Curtobacterium sp. MCLR17_007"	"S"	2175648	9	NA	3	3	3	1	4	1	3	2	1	NA	4	9	1	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Curtobacterium>unclassified&nbsp;Curtobacterium"
"Curtobacterium sp. MCPF17_002"	"S"	2175645	8	NA	3	1	3	2	8	2	NA	4	1	NA	4	1	2	2	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Curtobacterium>unclassified&nbsp;Curtobacterium"
"Curtobacterium sp. MCBD17_026"	"S"	2175621	4	NA	2	NA	2	3	4	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Curtobacterium>unclassified&nbsp;Curtobacterium"
"Curtobacterium sp. C1"	"S"	2898151	9	NA	6	NA	9	NA	NA	NA	NA	NA	NA	4	NA	4	NA	2	NA	NA	5	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Curtobacterium>unclassified&nbsp;Curtobacterium"
"Curtobacterium sp. MCJR17_043"	"S"	2175660	6	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	2	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Curtobacterium>unclassified&nbsp;Curtobacterium"
"Curtobacterium sp. MCSS17_015"	"S"	2175666	4	NA	1	NA	NA	NA	2	NA	NA	4	NA	1	1	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Curtobacterium>unclassified&nbsp;Curtobacterium"
"Leucobacter denitrificans"	"S"	683042	10	NA	10	NA	1	5	NA	2	3	NA	NA	1	5	3	2	NA	1	NA	2	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Leucobacter"
"Leucobacter viscericola"	"S"	2714935	6	NA	6	NA	1	1	1	1	3	NA	NA	1	2	4	1	NA	4	1	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Leucobacter"
"Leucobacter coleopterorum"	"S"	2714933	3	NA	3	NA	2	NA	NA	NA	1	1	NA	NA	1	1	NA	2	1	1	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Leucobacter"
"Agromyces laixinhei"	"S"	2585717	7	NA	7	NA	NA	1	3	NA	NA	3	1	3	3	6	1	3	1	NA	4	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Agromyces"
"Agromyces larvae"	"S"	2929802	12	NA	8	1	2	1	NA	3	NA	2	NA	1	8	12	4	1	2	NA	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Agromyces"
"Agromyces sp. H17E-10"	"S"	2932244	24	NA	2	1	NA	NA	5	NA	1	1	NA	2	12	24	1	7	NA	1	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Agromyces>unclassified&nbsp;Agromyces"
"Agromyces flavus"	"S"	589382	8	NA	3	1	2	2	8	4	5	1	NA	NA	7	2	2	1	3	NA	3	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Agromyces"
"Rathayibacter sp. VKM Ac-2760"	"S"	2609253	6	NA	4	NA	1	NA	6	NA	NA	2	NA	1	4	5	1	2	NA	1	4	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Rathayibacter>unclassified&nbsp;Rathayibacter"
"Rathayibacter sp. VKM Ac-2805"	"S"	2609258	4	NA	1	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Rathayibacter>unclassified&nbsp;Rathayibacter"
"Rathayibacter rathayi"	"S"	33887	12	NA	12	NA	4	NA	NA	3	1	NA	NA	NA	NA	NA	NA	NA	2	2	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Rathayibacter"
"Rathayibacter tanaceti"	"S"	1671680	5	NA	5	NA	3	5	2	NA	1	1	NA	NA	5	4	1	2	2	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Rathayibacter"
"Rathayibacter oskolensis"	"S"	1891671	9	NA	9	NA	NA	NA	NA	NA	NA	4	NA	3	NA	7	NA	NA	3	NA	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Rathayibacter"
"Rathayibacter toxicus"	"S"	145458	4	NA	2	NA	1	1	2	1	NA	NA	1	1	4	2	NA	1	3	2	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Rathayibacter"
"Agrococcus sp. SL85"	"S"	2995141	10	NA	10	1	NA	5	9	1	1	1	NA	NA	3	8	3	1	NA	1	5	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Agrococcus>unclassified&nbsp;Agrococcus"
"Agrococcus sp. SCSIO52902"	"S"	2933290	10	NA	9	NA	1	NA	1	1	NA	4	NA	5	2	10	1	3	2	1	4	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Agrococcus>unclassified&nbsp;Agrococcus"
"Clavibacter michiganensis"	"S"	28447	25	NA	14	9	2	3	12	2	5	6	3	4	15	25	1	5	14	1	2	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Clavibacter"
"Clavibacter sepedonicus"	"S"	31964	8	NA	5	NA	2	1	1	3	NA	1	NA	NA	8	1	NA	1	2	NA	3	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Clavibacter"
"Clavibacter capsici"	"S"	1874630	6	NA	3	NA	NA	1	4	NA	NA	5	1	3	2	1	2	1	6	1	2	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Clavibacter"
